اسم الملف,الأحاديث المعالجة,توكنز المدخلات,توكنز المخرجات,وقت المعالجة (ثانية),التوكنز في الثانية,متوسط الوقت لكل حديث (ثانية)
1333.json,1,1696,739,43.6,55.85,43.6
1334.json,1,886,514,36.27,38.6,36.27
1335.json,1,1534,696,46.96,47.49,46.96
1336.json,1,1269,723,38.99,51.09,38.99
1338.json,1,1880,669,45.09,56.54,45.09
1339.json,1,2274,908,46.01,69.16,46.01
1340.json,1,1583,659,50.9,44.05,50.9
1341.json,1,1893,840,52.31,52.24,52.31
1342.json,1,2118,768,63.03,45.79,63.03
1343.json,1,2417,791,52.28,61.36,52.28
1344.json,1,2444,900,82.31,40.63,82.31
1345.json,1,2323,734,63.22,48.35,63.22
1346.json,1,1209,609,39.52,46.0,39.52
1347.json,1,2413,736,52.72,59.74,52.72
1348.json,1,2367,608,62.1,47.91,62.1
1349.json,1,3832,724,55.26,82.44,55.26
1350.json,1,2310,745,53.32,57.29,53.32
1351.json,1,2158,768,51.48,56.84,51.48
1352.json,1,1338,584,40.23,47.77,40.23
1353.json,1,2396,838,44.63,72.47,44.63
1354.json,1,1806,691,39.31,63.52,39.31
1356.json,1,1627,826,44.77,54.79,44.77
1357.json,1,1618,727,39.95,58.69,39.95
1358.json,1,2363,728,42.62,72.53,42.62
1359.json,1,2182,895,50.5,60.93,50.5
1360.json,1,2304,733,49.1,61.85,49.1
1361.json,1,2000,748,53.69,51.18,53.69
1362.json,1,2370,706,37.88,81.21,37.88
1363.json,1,1482,663,41.71,51.43,41.71
1364.json,1,1566,766,53.4,43.67,53.4
1365.json,1,1368,712,46.95,44.31,46.95
1366.json,1,2615,806,51.74,66.11,51.74
1367.json,1,1992,562,40.22,63.5,40.22
1368.json,1,2473,714,42.77,74.52,42.77
1369.json,1,1754,662,37.56,64.32,37.56
1370.json,1,2055,751,40.57,69.16,40.57
1371.json,1,2017,660,42.56,62.9,42.56
1372.json,1,3109,845,55.14,71.7,55.14
1373.json,1,1448,716,44.93,48.17,44.93
1374.json,1,1956,818,43.21,64.2,43.21
1375.json,1,1226,572,34.36,52.33,34.36
1376.json,1,2251,975,50.24,64.21,50.24
1377.json,1,2219,909,58.44,53.52,58.44
1378.json,1,1997,765,45.41,60.82,45.41
1379.json,1,1494,787,55.13,41.37,55.13
1380.json,1,1928,745,50.75,52.67,50.75
1381.json,1,1818,662,32.73,75.77,32.73
1382.json,1,1593,663,44.02,51.25,44.02
1383.json,1,1564,680,39.0,57.54,39.0
1384.json,1,1583,728,47.11,49.06,47.11
1385.json,1,2091,713,44.23,63.4,44.23
1386.json,1,5221,796,51.19,117.54,51.19
1387.json,1,2367,765,41.74,75.04,41.74
1388.json,1,1325,683,40.14,50.03,40.14
1389.json,1,2130,785,48.75,59.8,48.75
1390.json,1,1790,893,66.38,40.42,66.38
1391.json,1,1363,648,58.54,34.35,58.54
1392.json,1,3915,1041,66.0,75.09,66.0
1393.json,1,1835,750,40.04,64.56,40.04
1394.json,1,1811,680,51.79,48.1,51.79
1395.json,1,2028,717,54.12,50.72,54.12
1396.json,1,2295,788,59.86,51.5,59.86
1397.json,1,2542,803,58.34,57.34,58.34
1398.json,1,4283,771,54.11,93.41,54.11
1399.json,1,2334,761,48.74,63.5,48.74
1401.json,1,1970,787,63.11,43.68,63.11
1402.json,1,2372,765,48.98,64.05,48.98
1403.json,1,1906,706,58.74,44.47,58.74
1404.json,1,1629,642,54.51,41.66,54.51
1405.json,1,1667,616,48.14,47.42,48.14
1406.json,1,2569,822,47.88,70.82,47.88
1408.json,1,2909,1046,60.19,65.71,60.19
1409.json,1,1499,660,60.04,35.96,60.04
1410.json,1,1406,520,32.73,58.85,32.73
1411.json,1,1594,739,50.46,46.23,50.46
1412.json,1,1542,661,61.26,35.96,61.26
1413.json,1,2562,706,34.73,94.09,34.73
1414.json,1,1786,737,55.42,45.52,55.42
1415.json,1,2001,705,50.04,54.08,50.04
1416.json,1,1848,673,44.35,56.84,44.35
1417.json,1,3269,1030,43.3,99.27,43.3
1418.json,1,1987,692,47.87,55.97,47.87
1419.json,1,1892,763,37.73,70.37,37.73
1420.json,1,1645,776,42.9,56.44,42.9
1421.json,1,2095,885,58.58,50.87,58.58
1422.json,1,1633,871,45.71,54.78,45.71
1423.json,1,3538,857,46.47,94.58,46.47
1424.json,1,1020,579,35.72,44.76,35.72
1425.json,1,1438,540,45.26,43.7,45.26
1426.json,1,1330,640,40.34,48.84,40.34
1429.json,1,1222,808,44.55,45.57,44.55
1430.json,1,1476,694,54.08,40.12,54.08
1431.json,1,940,607,34.19,45.25,34.19
1432.json,1,1622,771,44.68,53.56,44.68
1433.json,1,1421,533,34.9,55.99,34.9
1434.json,1,1516,565,46.93,44.34,46.93
1435.json,1,3000,845,52.2,73.67,52.2
1436.json,1,1721,700,58.92,41.09,58.92
1437.json,1,1399,569,38.28,51.41,38.28
1438.json,1,1606,648,39.94,56.44,39.94
1439.json,1,1382,786,45.57,47.57,45.57
1440.json,1,1412,841,102.0,22.09,102.0
1441.json,1,1422,701,65.12,32.6,65.12
1442.json,1,1715,794,105.56,23.77,105.56
1443.json,1,2244,841,45.65,67.57,45.65
1445.json,1,1854,922,40.85,67.95,40.85
1446.json,1,1683,622,39.56,58.26,39.56
1448.json,1,2175,697,63.98,44.89,63.98
1449.json,1,962,646,45.33,35.47,45.33
1450.json,1,2151,753,31.69,91.63,31.69
1451.json,1,1957,593,56.67,45.0,56.67
1452.json,1,2119,735,52.45,54.41,52.45
1453.json,0,3839,7,6.95,553.62,0.0
1454.json,1,4230,766,41.37,120.77,41.37
1455.json,1,1548,715,50.03,45.24,50.03
1456.json,1,2200,843,49.0,62.1,49.0
1458.json,1,1965,795,65.57,42.09,65.57
